primary_vendor_name,Inbound Days,Freq
PT Indomarco,"Tue, Thu, Sat",3
PT RUSCO ONLINE DISTRIBUSI,"Tue, Sat",2
PT Sayap Utama / Wings Group,"Wed, Fri",2
PT HANJAYA MANDALA SAMPOERNA TBK. Tbk.,"Mon, Wed",2
PT Unilever Indonesia TBK,"Mon, Thu",2
PT COCA COLA DISTRIBUTION INDONESIA,"Wed, Fri",2
PT Catur Sentosa Anugerah,"Tue, Thu",2
PT Borwita Indah,"Mon, Thu",2
PT Tirta Investama,"Tue, Thu, Sat",3
PT Otri Technology,"Tue, Fri",2
PT Tiga Sedulur Djaja,"Wed, Fri",2
PT Belitang Panen Raya,"Tue, Thu",2